"Gas","Slope","Intercept","R2"
"CO2",2.12563575268812,-3884.52278763429,0.993044551629699
"CH4",5.7347960349461,-9757.82836357498,0.85958014620031
"N2O",0.900829401881695,-1487.50485315855,0.99011386359201
